[ 2025-05-06 14:03:06,358 ] 17 root - INFO - Initiate the data ingestion
[ 2025-05-06 14:03:22,497 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-05-06 14:03:22,497 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-05-06 14:03:22,498 ] 75 root - INFO - Exporting train and test file path.
[ 2025-05-06 14:03:22,539 ] 84 root - INFO - Exported train and test file path.
[ 2025-05-06 14:03:22,540 ] 19 root - INFO - Data Initiation Completed
[ 2025-05-06 14:03:22,546 ] 23 root - INFO - Initiate the data Validation
[ 2025-05-06 14:03:22,604 ] 34 root - INFO - Required number of columns2
[ 2025-05-06 14:03:22,604 ] 34 root - INFO - Required number of columns2
[ 2025-05-06 14:03:22,727 ] 25 root - INFO - data Validation Completed
[ 2025-05-06 14:03:22,727 ] 28 root - INFO - data Transformation started
[ 2025-05-06 14:03:22,727 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-05-06 14:03:22,727 ] 65 root - INFO - Starting data transformation
[ 2025-05-06 14:03:22,745 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-05-06 14:03:22,745 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-05-06 14:03:22,760 ] 45 root - INFO - Entered the save_object method of MainUtils class
[ 2025-05-06 14:03:22,763 ] 49 root - INFO - Exited the save_object method of MainUtils class
[ 2025-05-06 14:03:22,763 ] 45 root - INFO - Entered the save_object method of MainUtils class
[ 2025-05-06 14:03:22,765 ] 49 root - INFO - Exited the save_object method of MainUtils class
[ 2025-05-06 14:03:22,767 ] 32 root - INFO - data Transformation completed
[ 2025-05-06 14:03:22,767 ] 33 root - INFO - Model Training stared
[ 2025-05-06 14:03:28,710 ] 45 root - INFO - Entered the save_object method of MainUtils class
[ 2025-05-06 14:03:28,737 ] 49 root - INFO - Exited the save_object method of MainUtils class
[ 2025-05-06 14:03:28,737 ] 104 root - INFO - Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts\\05_06_2025_14_03_05\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9909635495989441, precision_score=0.9880542619963555, recall_score=0.9938900203665988), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.9784517158818835, precision_score=0.9737887212073074, recall_score=0.983159582999198))
[ 2025-05-06 14:03:28,738 ] 38 root - INFO - Model Training artifact created
