[ 2025-05-06 10:59:38,590 ] 15 root - INFO - Initiate the data ingestion
[ 2025-05-06 10:59:45,029 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-05-06 10:59:45,030 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-05-06 10:59:45,030 ] 75 root - INFO - Exporting train and test file path.
[ 2025-05-06 10:59:45,070 ] 84 root - INFO - Exported train and test file path.
[ 2025-05-06 10:59:45,070 ] 17 root - INFO - Data Initiation Completed
[ 2025-05-06 10:59:45,077 ] 21 root - INFO - Initiate the data Validation
[ 2025-05-06 10:59:45,124 ] 34 root - INFO - Required number of columns2
[ 2025-05-06 10:59:45,124 ] 34 root - INFO - Required number of columns2
[ 2025-05-06 10:59:45,249 ] 23 root - INFO - data Validation Completed
[ 2025-05-06 10:59:45,249 ] 26 root - INFO - data Transformation started
[ 2025-05-06 10:59:45,249 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-05-06 10:59:45,249 ] 65 root - INFO - Starting data transformation
[ 2025-05-06 10:59:45,269 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-05-06 10:59:45,269 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniforms'}
