[ 2025-05-06 16:08:23,480 ] 17 root - INFO - Initiate the data ingestion
[ 2025-05-06 16:08:28,814 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-05-06 16:08:28,814 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-05-06 16:08:28,814 ] 75 root - INFO - Exporting train and test file path.
[ 2025-05-06 16:08:28,860 ] 84 root - INFO - Exported train and test file path.
[ 2025-05-06 16:08:28,861 ] 19 root - INFO - Data Initiation Completed
[ 2025-05-06 16:08:28,867 ] 23 root - INFO - Initiate the data Validation
[ 2025-05-06 16:08:28,917 ] 34 root - INFO - Required number of columns2
[ 2025-05-06 16:08:28,917 ] 34 root - INFO - Required number of columns2
[ 2025-05-06 16:08:29,035 ] 25 root - INFO - data Validation Completed
[ 2025-05-06 16:08:29,035 ] 28 root - INFO - data Transformation started
[ 2025-05-06 16:08:29,035 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-05-06 16:08:29,035 ] 65 root - INFO - Starting data transformation
[ 2025-05-06 16:08:29,053 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-05-06 16:08:29,053 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-05-06 16:08:29,065 ] 45 root - INFO - Entered the save_object method of MainUtils class
[ 2025-05-06 16:08:29,068 ] 49 root - INFO - Exited the save_object method of MainUtils class
[ 2025-05-06 16:08:29,068 ] 45 root - INFO - Entered the save_object method of MainUtils class
[ 2025-05-06 16:08:29,070 ] 49 root - INFO - Exited the save_object method of MainUtils class
[ 2025-05-06 16:08:29,070 ] 45 root - INFO - Entered the save_object method of MainUtils class
[ 2025-05-06 16:08:29,073 ] 49 root - INFO - Exited the save_object method of MainUtils class
[ 2025-05-06 16:08:29,074 ] 32 root - INFO - data Transformation completed
[ 2025-05-06 16:08:29,074 ] 33 root - INFO - Model Training stared
[ 2025-05-06 16:09:07,877 ] 45 root - INFO - Entered the save_object method of MainUtils class
[ 2025-05-06 16:09:07,898 ] 49 root - INFO - Exited the save_object method of MainUtils class
[ 2025-05-06 16:09:07,898 ] 45 root - INFO - Entered the save_object method of MainUtils class
[ 2025-05-06 16:09:07,917 ] 49 root - INFO - Exited the save_object method of MainUtils class
[ 2025-05-06 16:09:07,917 ] 140 root - INFO - Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts\\05_06_2025_16_08_19\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9918519263655567, precision_score=0.9877780004007213, recall_score=0.9959595959595959), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.9685842513259894, precision_score=0.9541800643086816, recall_score=0.9834299917149959))
[ 2025-05-06 16:09:07,918 ] 38 root - INFO - Model Training artifact created
