[ 2025-05-06 13:49:06,154 ] 17 root - INFO - Initiate the data ingestion
[ 2025-05-06 13:49:22,260 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-05-06 13:49:22,261 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-05-06 13:49:22,261 ] 75 root - INFO - Exporting train and test file path.
[ 2025-05-06 13:49:22,303 ] 84 root - INFO - Exported train and test file path.
[ 2025-05-06 13:49:22,303 ] 19 root - INFO - Data Initiation Completed
[ 2025-05-06 13:49:22,310 ] 23 root - INFO - Initiate the data Validation
[ 2025-05-06 13:49:22,371 ] 34 root - INFO - Required number of columns2
[ 2025-05-06 13:49:22,371 ] 34 root - INFO - Required number of columns2
[ 2025-05-06 13:49:22,505 ] 25 root - INFO - data Validation Completed
[ 2025-05-06 13:49:22,505 ] 28 root - INFO - data Transformation started
[ 2025-05-06 13:49:22,505 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-05-06 13:49:22,506 ] 65 root - INFO - Starting data transformation
[ 2025-05-06 13:49:22,530 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-05-06 13:49:22,531 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-05-06 13:49:22,541 ] 45 root - INFO - Entered the save_object method of MainUtils class
[ 2025-05-06 13:49:22,545 ] 49 root - INFO - Exited the save_object method of MainUtils class
[ 2025-05-06 13:49:22,545 ] 45 root - INFO - Entered the save_object method of MainUtils class
[ 2025-05-06 13:49:22,547 ] 49 root - INFO - Exited the save_object method of MainUtils class
[ 2025-05-06 13:49:22,548 ] 32 root - INFO - data Transformation completed
[ 2025-05-06 13:49:22,548 ] 33 root - INFO - Model Training stared
