[ 2025-05-06 15:26:18,704 ] 17 root - INFO - Initiate the data ingestion
[ 2025-05-06 15:26:24,628 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-05-06 15:26:24,628 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-05-06 15:26:24,629 ] 75 root - INFO - Exporting train and test file path.
[ 2025-05-06 15:26:24,674 ] 84 root - INFO - Exported train and test file path.
[ 2025-05-06 15:26:24,674 ] 19 root - INFO - Data Initiation Completed
[ 2025-05-06 15:26:24,681 ] 23 root - INFO - Initiate the data Validation
[ 2025-05-06 15:26:24,751 ] 34 root - INFO - Required number of columns2
[ 2025-05-06 15:26:24,753 ] 34 root - INFO - Required number of columns2
[ 2025-05-06 15:26:24,860 ] 25 root - INFO - data Validation Completed
[ 2025-05-06 15:26:24,860 ] 28 root - INFO - data Transformation started
[ 2025-05-06 15:26:24,860 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-05-06 15:26:24,860 ] 65 root - INFO - Starting data transformation
[ 2025-05-06 15:26:24,882 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-05-06 15:26:24,882 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-05-06 15:26:24,895 ] 45 root - INFO - Entered the save_object method of MainUtils class
[ 2025-05-06 15:26:24,897 ] 49 root - INFO - Exited the save_object method of MainUtils class
[ 2025-05-06 15:26:24,897 ] 45 root - INFO - Entered the save_object method of MainUtils class
[ 2025-05-06 15:26:24,900 ] 49 root - INFO - Exited the save_object method of MainUtils class
[ 2025-05-06 15:26:24,901 ] 32 root - INFO - data Transformation completed
[ 2025-05-06 15:26:24,901 ] 33 root - INFO - Model Training stared
