[ 2025-05-06 16:02:16,263 ] 17 root - INFO - Initiate the data ingestion
[ 2025-05-06 16:02:21,324 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-05-06 16:02:21,324 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-05-06 16:02:21,324 ] 75 root - INFO - Exporting train and test file path.
[ 2025-05-06 16:02:21,367 ] 84 root - INFO - Exported train and test file path.
[ 2025-05-06 16:02:21,367 ] 19 root - INFO - Data Initiation Completed
[ 2025-05-06 16:02:21,374 ] 23 root - INFO - Initiate the data Validation
[ 2025-05-06 16:02:21,429 ] 34 root - INFO - Required number of columns2
[ 2025-05-06 16:02:21,429 ] 34 root - INFO - Required number of columns2
[ 2025-05-06 16:02:21,559 ] 25 root - INFO - data Validation Completed
[ 2025-05-06 16:02:21,559 ] 28 root - INFO - data Transformation started
[ 2025-05-06 16:02:21,559 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-05-06 16:02:21,559 ] 65 root - INFO - Starting data transformation
[ 2025-05-06 16:02:21,581 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-05-06 16:02:21,582 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-05-06 16:02:21,594 ] 45 root - INFO - Entered the save_object method of MainUtils class
[ 2025-05-06 16:02:21,597 ] 49 root - INFO - Exited the save_object method of MainUtils class
[ 2025-05-06 16:02:21,597 ] 45 root - INFO - Entered the save_object method of MainUtils class
[ 2025-05-06 16:02:21,599 ] 49 root - INFO - Exited the save_object method of MainUtils class
[ 2025-05-06 16:02:21,599 ] 45 root - INFO - Entered the save_object method of MainUtils class
[ 2025-05-06 16:02:21,604 ] 49 root - INFO - Exited the save_object method of MainUtils class
[ 2025-05-06 16:02:21,605 ] 32 root - INFO - data Transformation completed
[ 2025-05-06 16:02:21,605 ] 33 root - INFO - Model Training stared
